DomesticG,PBudget,RDate,Title,WorldwideG
,,,,
"$293,004,164","$175,000,000","May 29, 2009",Up,"$731,463,377"
"$209,726,015","$175,000,000","Nov 22, 2017",Coco,"$798,020,225"
"$201,091,711","$175,000,000","Nov 21, 2018",Ralph Breaks The Internet,"$524,288,667"
"$198,351,526","$175,000,000","Mar 27, 2009",Monsters vs. Aliens,"$381,687,380"
"$152,901,115","$175,000,000","Jun 16, 2017",Cars 3,"$383,549,151"
"$150,201,498","$175,000,000","Aug 7, 2009",G.I. Joe: The Rise of Cobra,"$302,469,017"
"$113,805,681","$175,000,000","Jun 30, 1999",Wild Wild West,"$221,229,335"
"$102,491,776","$175,000,000","Aug 1, 2008",The Mummy: Tomb of the Dragon Emperor,"$405,760,225"
"$100,289,690","$175,000,000","Jun 22, 2007",Evan Almighty,"$174,131,329"
"$88,246,220","$175,000,000","Jul 28, 1995",Waterworld,"$264,246,220"
"$39,175,066","$175,000,000","May 12, 2017",King Arthur: Legend of the Sword,"$139,630,336"
"$38,362,475","$175,000,000","Dec 25, 2013",47 Ronin,"$151,716,815"
"$417,719,760","$170,000,000","Jun 22, 2018",Jurassic World: Fallen Kingdom,"$1,305,772,799"
"$333,172,112","$170,000,000","Aug 1, 2014",Guardians of the Galaxy,"$770,867,516"
"$312,433,331","$170,000,000","May 7, 2010",Iron Man 2,"$621,156,389"
"$259,746,958","$170,000,000","Apr 4, 2014",Captain America: The Winter Soldier,"$714,401,889"
"$208,545,589","$170,000,000","Jul 11, 2014",Dawn of the Planet of the Apes,"$710,644,566"
"$187,224,605","$170,000,000","Nov 10, 2004",The Polar Express,"$311,365,187"
"$155,136,755","$170,000,000","Jun 1, 2012",Snow White and the Huntsman,"$401,021,746"
"$150,358,296","$170,000,000","Jul 1, 2003",Terminator 3: Rise of the Machines,"$433,058,296"
"$120,150,546","$170,000,000","May 7, 2004",Van Helsing,"$300,150,546"
"$111,049,858","$170,000,000","Mar 29, 2019",Dumbo,"$343,959,058"
"$93,436,322","$170,000,000","May 22, 2015",Tomorrowland,"$206,627,518"
"$85,710,210","$170,000,000","Feb 14, 2019",Alita: Battle Angel,"$402,976,036"
"$77,042,381","$170,000,000","May 27, 2016",Alice Through the Looking Glass,"$276,928,112"
"$238,736,787","$165,000,000","May 21, 2010",Shrek Forever After,"$756,244,673"
"$232,641,920","$165,000,000","Nov 4, 2016",Doctor Strange,"$676,404,566"
"$222,527,828","$165,000,000","Nov 7, 2014",Big Hero 6,"$652,127,828"
"$217,581,232","$165,000,000","Mar 26, 2010",How to Train Your Dragon,"$494,870,992"
"$189,412,677","$165,000,000","Nov 2, 2012",Wreck-It Ralph,"$496,511,521"
"$188,017,894","$165,000,000","Nov 5, 2014",Interstellar,"$666,379,375"
"$103,144,286","$165,000,000","Jun 24, 2016",Independence Day: Resurgence,"$384,169,424"
"$100,368,560","$163,000,000","Jul 29, 2011",Cowboys and Aliens,"$176,038,324"
"$504,014,165","$160,000,000","Mar 17, 2017",Beauty and the Beast,"$1,259,199,706"
"$335,061,807","$160,000,000","Dec 21, 2018",Aquaman,"$1,146,894,640"
"$322,719,944","$160,000,000","May 17, 2007",Shrek the Third,"$807,330,936"
"$292,576,195","$160,000,000","Jul 16, 2010",Inception,"$835,524,642"
"$281,723,902","$160,000,000","Nov 20, 2015",The Hunger Games: Mockingjay - Part 2,"$648,986,787"
"$238,679,850","$160,000,000","May 24, 2013",Fast and Furious 6,"$789,300,444"
"$200,676,069","$160,000,000","May 16, 2014",Godzilla,"$529,076,069"
"$146,408,305","$160,000,000","Jun 3, 2011",X-Men: First Class,"$355,408,305"
"$127,509,326","$160,000,000","Dec 25, 2008",The Curious Case of Benjamin Button,"$329,631,958"
"$63,150,991","$160,000,000","Jul 14, 2010",The Sorcerer's Apprentice,"$217,986,320"
"$60,674,817","$160,000,000","May 12, 2006",Poseidon,"$181,674,817"
"$47,225,655","$160,000,000","Jun 10, 2016",Warcraft,"$425,522,281"
"$61,433,527","$156,000,000","Sep 30, 2016",Deepwater Horizon,"$122,603,824"
"$104,386,950","$155,000,000","Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,"$418,186,950"
"$89,760,956","$155,000,000","Jul 1, 2015",Terminator: Genisys,"$432,150,894"
"$59,874,525","$155,000,000","Mar 23, 2018",Pacific Rim: Uprising,"$290,930,148"
"$34,297,191","$155,000,000","Nov 24, 2004",Alexander,"$167,297,191"
"$146,880,162","$152,000,000","Jul 14, 2017",War for the Planet of the Apes,"$489,592,267"
"$198,539,855","$151,500,000","May 25, 2001",Pearl Harbor,"$449,239,855"
"$319,246,193","$151,000,000","Jul 2, 2007",Transformers,"$708,272,592"
"$412,563,408","$150,000,000","Jun 2, 2017",Wonder Woman,"$821,133,378"
"$400,738,009","$150,000,000","Nov 22, 2013",Frozen,"$1,272,469,910"
"$341,268,248","$150,000,000","Mar 4, 2016",Zootopia,"$1,019,704,348"
"$292,137,260","$150,000,000","Jul 11, 2007",Harry Potter and the Order of the Phoenix,"$943,076,457"
"$290,201,752","$150,000,000","Nov 18, 2005",Harry Potter and the Goblet of Fire,"$897,099,794"
"$281,553,689","$150,000,000","May 15, 2003",The Matrix Reloaded,"$738,576,929"
"$256,393,010","$150,000,000","Dec 14, 2007",I am Legend,"$585,532,684"
"$248,757,044","$150,000,000","Nov 23, 2016",Moana,"$637,517,365"
"$227,946,274","$150,000,000","Jul 1, 2008",Hancock,"$624,234,272"
"$206,459,076","$150,000,000","Jul 15, 2005",Charlie and the Chocolate Factory,"$475,825,484"
"$206,445,654","$150,000,000","Jun 29, 2007",Ratatouille,"$626,549,695"
"$206,362,140","$150,000,000","Nov 8, 2013",Thor: The Dark World,"$644,602,516"
"$205,343,774","$150,000,000","Jun 15, 2005",Batman Begins,"$359,142,722"
"$195,042,377","$150,000,000","Jul 31, 2015",Mission: Impossibleâ€”Rogue Nation,"$688,858,992"
"$190,068,280","$150,000,000","Jul 21, 2017",Dunkirk,"$499,837,368"
"$181,030,624","$150,000,000","May 6, 2011",Thor,"$449,326,618"
"$180,174,880","$150,000,000","Nov 7, 2008",Madagascar: Escape 2 Africa,"$599,680,774"
"$179,883,157","$150,000,000","May 1, 2009",X-Men Origins: Wolverine,"$374,825,760"
"$177,243,721","$150,000,000","May 22, 2009",Night at the Museum: Battle of the Smithsonian,"$402,231,063"
"$165,249,063","$150,000,000","May 26, 2011",Kung Fu Panda 2,"$664,837,547"
"$153,636,354","$150,000,000","May 15, 2015",Mad Max: Fury Road,"$370,098,020"
"$139,270,910","$150,000,000","Nov 5, 2003",The Matrix Revolutions,"$427,300,260"
"$137,690,172","$150,000,000","Mar 29, 2018",Ready Player One,"$579,290,136"
"$135,386,665","$150,000,000","Nov 4, 2005",Chicken Little,"$310,043,823"
"$133,501,348","$150,000,000","May 5, 2006",Mission: Impossible III,"$397,501,348"
"$133,375,846","$150,000,000","May 15, 2009",Angels & Demons,"$490,875,846"
"$133,298,577","$150,000,000","May 14, 2004",Troy,"$484,161,265"
"$131,772,187","$150,000,000","Jul 1, 2010",The Last Airbender,"$319,713,881"
"$126,631,277","$150,000,000","Nov 2, 2007",Bee Movie,"$287,594,577"
"$119,436,770","$150,000,000","Jul 24, 2009",G-Force,"$292,817,841"
"$114,053,579","$150,000,000","Nov 21, 2008",Bolt,"$328,015,029"
"$83,670,083","$150,000,000","Mar 30, 2012",Wrath of the Titans,"$305,270,083"
