awards,film,nominations,year
3,Green Book,5,2018
4,Bohemian Rhapsody,5,2018
3,Roma,10,2018
3,Black Panther,7,2018
1,The Favourite,10,2018
1,A Star Is Born,8,2018
1,Vice,8,2018
1,BlacKkKlansman,6,2018
1,First Man,4,2018
1,If Beale Street Could Talk,3,2018
1,Bao,1,2018
1,Free Solo,1,2018
1,Period. End of Sentence.,1,2018
1,Skin,1,2018
1,Spider-Man: Into the Spider-Verse,1,2018
4,The Shape of Water,13,2017
3,Dunkirk,8,2017
2,"Three Billboards Outside Ebbing, Missouri",7,2017
2,Darkest Hour,6,2017
2,Blade Runner 2049,5,2017
2,Coco,2,2017
1,Phantom Thread,6,2017
1,Call Me by Your Name,4,2017
1,Get Out,4,2017
1,"I, Tonya",3,2017
1,Dear Basketball,1,2017
1,A Fantastic Woman,1,2017
1,Heaven Is a Traffic Jam on the 405,1,2017
1,Icarus,1,2017
1,The Silent Child,1,2017
0 (1),Flesh and Sand,0,2017
3,Moonlight,8,2016
6,La La Land,14,2016
2,Hacksaw Ridge,6,2016
2,Manchester by the Sea,6,2016
1,Arrival,8,2016
1,Fences,4,2016
1,Fantastic Beasts and Where to Find Them,2,2016
1,O.J.: Made in America,1,2016
1,Piper,1,2016
1,The Salesman,1,2016
1,Sing,1,2016
1,Suicide Squad,1,2016
1,The White Helmets,1,2016
1,Zootopia,1,2016
2,Spotlight,6,2015
6,Mad Max: Fury Road,10,2015
3,The Revenant,12,2015
1,Bridge of Spies,6,2015
1,The Big Short,5,2015
1,The Danish Girl,4,2015
1,Room,4,2015
1,The Hateful Eight,3,2015
1,Ex Machina,2,2015
1,Inside Out,2,2015
1,Amy,1,2015
1,Bear Story,1,2015
1,A Girl in the River: The Price of Forgiveness,1,2015
1,Son of Saul,1,2015
1,Spectre,1,2015
1,Stutterer,1,2015
4,Birdman,9,2014
4,The Grand Budapest Hotel,9,2014
3,Whiplash,5,2014
1,The Imitation Game,8,2014
1,American Sniper,6,2014
1,Boyhood,6,2014
1,Interstellar,5,2014
1,The Theory of Everything,5,2014
1,Ida,2,2014
1,Selma,2,2014
1,Citizenfour,1,2014
1,Big Hero 6,1,2014
1,Crisis Hotline: Veterans Press 1,1,2014
1,The Phone Call,1,2014
1,Still Alice,1,2014
1,Feast,1,2014
3,12 Years a Slave,9,2013
7,Gravity,10,2013
3,Dallas Buyers Club,6,2013
2,Frozen,2,2013
1,Her,5,2013
1,Blue Jasmine,3,2013
1,Mr Hublot,1,2013
1,Helium,1,2013
1,20 Feet from Stardom,1,2013
3,Argo,7,2012
4,Life of Pi,11,2012
3,Les Misérables,8,2012
2,Lincoln,12,2012
2,Django Unchained,5,2012
2,Skyfall,5,2012
1,Silver Linings Playbook,8,2012
1,Zero Dark Thirty,5,2012
1,Amour,5,2012
1,Anna Karenina,4,2012
1,Paperman,1,2012
1,Brave,1,2012
1,Searching for Sugar Man,1,2012
1,Inocente,1,2012
1,Curfew,1,2012
5,The Artist,10,2011
5,Hugo,11,2011
2,The Iron Lady,2,2011
1,The Descendants,5,2011
1,The Girl with the Dragon Tattoo,5,2011
1,Midnight in Paris,4,2011
